   Publisher App Market ID,   Publisher App ID,   Publisher App Name,  Publisher Account ID,  Publisher Account Name,Salesforce Monetize Account Region,Salesforce Monetize Account AM  Name,    Report Ad Spend (Unified),    Report    Publisher Revenue,    Report Net Revenue (Unified)
com.storymatrix.drama,65533abc8ec95628af4f138d,DramaBox,65532f6b6cdf5900118d1f51,STORYMATRIX PTE LTD,APAC,Aria Gao,347684.1233125735,225047.316077,122636.80723557346
395979574,53e0f868838d31b86d00002f,iOS Spider,561e8d936b8d90f61a000455,Mobility Ware,Americas,Natalie Kenyon,346413.6551795157,249430.205966,96983.44921351572
com.freereels.app,689b0fdef369593cb0e287e9,FreeReels-安卓,67c01767cc8ae200116e5d00,Skywork AI PTELTD,APAC,Ronald Long,345934.09545949736,204286.845289,141647.25017049734
com.xiaomi.mipicks,66d6b892e6845db6f88fb048,com.xiaomi.mipicks,66d6b6896f113e001198b89c,Xiaomi Group,APAC,Sunton Sun,344580.2875265862,204682.208245,139898.07928158625
1193508329,592fc29cc10833a4760012c6,Sudoku - Classic Sudoku Puzzle Game,57d1b461ae2b57d903000027,Easybrain Ltd,EMEA,Benjamin Lyon,343236.5448797077,253576.796535,89659.74834470771
free.vpn.unblock.proxy.turbovpn,5d8977f0c8e0320017598a33,Turbo,5d76031d57ec4f0017743734,INNOVATIVE CONNECTING PTE.LIMITED,APAC,Harper Zhang,336845.0571363143,181546.960748,155298.0963883143
com.mobilityware.solitaire,5346f0237963ec4e6a0000c6,Android Solitaire,561e8d936b8d90f61a000455,Mobility Ware,Americas,Natalie Kenyon,332779.3086907453,242537.139818,90242.16887274533
com.easybrain.crossword.puzzles,661556bb5b2dea6d39bb0063,Crossword Master GP,57d1b461ae2b57d903000027,Easybrain Ltd,EMEA,Benjamin Lyon,330819.17601288494,254841.176464,75977.99954888492
921765888,5be9c1194d3adf04414b15de,Audiomack | Download New Music,5f73ab8ec84db80016b354bb,Audiomack Inc.,Americas,Natalie Kenyon,322834.645245118,144425.171041,178409.474204118
382233851,686295a9394e0109dd4a2580,Flightradar24 | Flight Tracker,6862932aaff9d800114174ac,Flightradar24 AB,EMEA,Hadil Salameh,321767.1533516529,215809.091348,105958.06200365293
6464002625,65714019a5cc307500171031,ShortTV,655c62f25942160011cb5305,SHUNYOU PTE LTD,APAC,Harper Zhang,309042.8095583399,202734.693041,106308.11651733983
632064380,6716548809f72ec0f50798ed,Vinted IOS,670cfa366f113e00119a799f,Vinted,EMEA,Dumitru Cazacu,306552.6101479342,167173.122485,139379.48766293415
1103438575,579b9dc8b8582d866e000061,Microsoft Solitaire Collection iOS,579643ec6c081adf5c00004c,Microsoft Casual Games,Americas,Matthew Hong,306390.14740161086,210259.742794,96130.40460761086
6482849843,661898f2c0c070078a977fb4,Goods Sorting: Match 3 Puzzle iOS PM_1945,5a57133a3610bbb671016ff3,FALCON GLOBAL LTD.,APAC,Nam Trinh,296539.6190660825,191656.771269,104882.84779708249
6504324020,686cdae238a354d88e4ccb38,Hexa Away_iOS,5b69051b3a5ab61db2c22189,株式会社GOODROID,APAC,Soojin Moon,292783.98138231057,182703.234438,110080.74694431058
1407852246,603cf6d080c4a228357168ea,Happy Color iOS (NEW),5b1526a7de961d3317b1d475,X-FLOW LTD,EMEA,Kseniia Fesenko,288648.4557502412,193022.514786,95625.94096424116
6741408932,67d28cc1043308f88f90f139,Jigsolitaire,561e8d936b8d90f61a00046c,"Gamincat, Inc.",APAC,Soojin Moon,282763.2916909188,178935.760311,103827.53137991879
com.king.farmheroessaga,632cc65fb9383affd1497167,Farm Heroes Saga_Android,622b9915ac4bf1001715b790,Activision Blizzard Media (King),Americas,Kasey Geist,282464.5454783559,201178.166462,81286.37901635586
com.newreading.goodreels,6487cb65721f160ac5302d11,GoodReels-Android,63e35991bbe8fa0014380604,Singapore New Reading Technology Pt,APAC,Sunton Sun,280682.3314989758,204250.425101,76431.90639797584
com.gamovation.tileclub,667c14204d6765df32fe9234,Tile Club,5fe2fafd6013fb0015208652,GamoVation,EMEA,Louis Wallworth,279269.8081338994,207179.289537,72090.51859689945
com.peoplefun.wordcross,58ed4805d573baf555001be0,Wordscapes GP,561e8d976b8d90f61a0045d7,"PeopleFun, Inc.",Americas,Matthew Hong,272937.511752763,202762.749005,70174.76274776302
6504849169,66c4130fe2d733cb76cdd336,NetShort_IOS,66bf1c62ddea6f0011b313a9,NETSTORY PTE LTD,APAC,Harper Zhang,268739.8704066247,177165.970996,91573.89941062468
com.fugo.wow,5c1dea438aa5b200174b0a72,Words Of Wonders - Android,5bb6123fa4ae3604537ad781,Fugo Games,EMEA,Dina Eraksan,268627.2802406623,149695.361698,118931.9185426623
301987699,53e0f922936129bc6d000033,iOS FreeCell,561e8d936b8d90f61a000455,Mobility Ware,Americas,Natalie Kenyon,267000.064367552,188817.65212,78182.41224755201
6743385713,67f64bb2ee3e8a4c67ae7434,Bubble Buster,634d301fa3774b001b7c0dbc,ToGather Fun Limited,APAC,Harper Zhang,255724.17790400214,175374.144287,80350.03361700215
1667538256,64ec9384993b2f0f1f1d1c9a,Solitaire Verse,619b548fc9c9c1001796f1f6,Gimica GmbH,EMEA,Dina Eraksan,255249.6679449301,179571.90185,75677.76609493009
1462911602,62f26e8e348007e331ea2907,Dream League Soccer,6247027c20721a0018bb6528,First Touch Games,EMEA,Louis Wallworth,254089.907876741,163704.032581,90385.87529574099
